time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/entropy_loss,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/n_updates
8,21.999529510000002,4.97,16384,113,144,-6.563292147219181,0.55966796875,27.473913192749023,48.49067780971527,0.2,0.0003,0.0,-0.07760076272170409,0.035269804,70
1,13.69614818,5.0,2048,4,467,-6.419958545267582,0.56640625,22.179931640625,56.33640709519386,0.2,0.0003,0.0,-0.07998901016835588,0.037885066,80
2,15.34787688,5.0,4096,23,177,-7.146841754019261,0.545947265625,8.984185218811035,20.8509147554636,0.2,0.0003,0.00018978118896484375,-0.08896373581374065,0.0291502,10
3,15.844853469999999,4.99,6144,40,152,-7.110532991588116,0.598681640625,14.518586158752441,26.405001220107078,0.2,0.0003,5.960464477539063e-08,-0.08691291750146775,0.03539762,20
4,15.976640029999999,5.0,8192,58,139,-7.058307321369648,0.611474609375,14.558592796325684,29.59789435863495,0.2,0.0003,5.960464477539063e-08,-0.0864960630540736,0.03977463,30
5,18.16353267,4.97,10240,76,134,-6.995586283504963,0.59580078125,16.0906982421875,33.58106542825699,0.2,0.0003,1.1920928955078125e-07,-0.08187898925680201,0.04372569,40
6,18.665966029999996,5.0,12288,93,130,-6.911090271174908,0.5966796875,22.899869918823242,39.13546469211578,0.2,0.0003,0.0,-0.08599003606068437,0.042963676,50
7,20.901528690000006,4.98,14336,111,128,-6.794406720995903,0.60771484375,18.777193069458008,44.59646916985512,0.2,0.0003,0.0,-0.08734449059120379,0.045234557,60
8,23.080289100000005,4.99,16384,128,127,-6.6777764216065405,0.547607421875,34.63499069213867,56.10902807712555,0.2,0.0003,0.0,-0.0780732939929294,0.04578967,70
1,14.34244567,5.0,2048,4,439,-6.530987836420536,0.54951171875,23.002397537231445,64.70420345067978,0.2,0.0003,0.0,-0.07701454108464531,0.037199095,80
2,14.628733870000001,5.0,4096,26,155,-7.2504842430353165,0.54287109375,11.109902381896973,20.843322277069092,0.2,0.0003,0.00010854005813598633,-0.08735186424164568,0.029601486,10
3,14.84559953,4.99,6144,46,131,-7.214931364357471,0.61962890625,10.390347480773926,23.751926580071448,0.2,0.0003,-1.1920928955078125e-07,-0.09271829690696905,0.035012122,20
4,15.859608539999996,5.0,8192,66,122,-7.176478776335716,0.616455078125,12.247049331665039,27.646683329343794,0.2,0.0003,-1.1920928955078125e-07,-0.09153786935203242,0.03823378,30
5,16.01609989,4.96,10240,86,118,-7.126621161401272,0.59296875,13.21262264251709,31.18444868326187,0.2,0.0003,-1.1920928955078125e-07,-0.08685855664225528,0.038151048,40
6,18.24371042,5.0,12288,107,114,-7.0654501765966415,0.565087890625,17.516782760620117,34.94514980316162,0.2,0.0003,0.0,-0.08009747596515808,0.036973726,50
7,19.707911650000003,5.0,14336,128,111,-6.990177650749684,0.564111328125,20.628597259521484,43.03575513362885,0.2,0.0003,0.0,-0.08607163470587693,0.039556332,60
8,21.878607700000007,4.99,16384,148,110,-6.893711262941361,0.584912109375,19.215442657470703,48.04227243065834,0.2,0.0003,0.0,-0.08349862779432442,0.041622072,70
