snapshot,issue_id,TMS_selected,TMS_severity,TMS_effort,TMS_created,PMS_selected,PMS_severity,PMS_effort,PMS_created
2018-11-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tc,True,HIGH,5.0,2018-08-10 06:26:25,False,,,
2018-11-01 00:00:00+00:00,AZUWLxbE36iphIe0EWWn,True,INFO,2.0,2018-10-23 21:24:09,False,,,
2018-12-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v_,True,HIGH,2.0,2017-06-28 16:52:27,False,,,
2018-12-01 00:00:00+00:00,AZLAalpvVrNh1ufgrLdD,True,INFO,10.0,2018-11-17 02:02:41,False,,,
2018-12-01 00:00:00+00:00,AZLjvTYzyTR5NnVSEQi1,True,INFO,10.0,2018-11-12 21:57:28,False,,,
2018-12-01 00:00:00+00:00,AZUWLw3j36iphIe0EWV8,True,INFO,2.0,2018-11-30 21:42:53,False,,,
2018-12-01 00:00:00+00:00,AZUWLw3j36iphIe0EWV9,True,INFO,2.0,2018-11-30 21:42:53,False,,,
2019-01-01 00:00:00+00:00,AZBbMYPE-vc9aDr8e5sI,True,HIGH,5.0,2018-10-26 04:15:21,False,,,
2019-01-01 00:00:00+00:00,AZLAalpvVrNh1ufgrLdD,True,INFO,10.0,2018-11-17 02:02:41,False,,,
2019-01-01 00:00:00+00:00,AZLjvTYzyTR5NnVSEQi1,True,INFO,10.0,2018-11-12 21:57:28,False,,,
2019-01-01 00:00:00+00:00,AZUWLw3j36iphIe0EWV8,True,INFO,2.0,2018-11-30 21:42:53,False,,,
2019-01-01 00:00:00+00:00,AZUWLw3j36iphIe0EWV9,True,INFO,2.0,2018-11-30 21:42:53,False,,,
2019-02-01 00:00:00+00:00,AYxvK6osijFDpMqo8-Cv,True,LOW,2.0,2019-01-15 17:24:13,False,,,
2019-02-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tR,True,HIGH,5.0,2019-01-30 23:22:00,False,,,
2019-02-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v-,True,HIGH,2.0,2017-06-28 16:52:27,False,,,
2019-02-01 00:00:00+00:00,AZIlQd3tnMroJnOziKUW,True,INFO,2.0,2019-01-22 23:50:12,False,,,
2019-02-01 00:00:00+00:00,AZUWL0Ef36iphIe0EWZn,True,INFO,2.0,2019-01-29 18:51:23,False,,,
2019-03-01 00:00:00+00:00,AW0dNVY4x-vQs4-GMWgl,True,LOW,15.0,2019-02-20 01:10:05,False,,,
2019-03-01 00:00:00+00:00,AXZoHwP7aap2AIZWylQm,True,LOW,2.0,2019-02-28 00:21:53,False,,,
2019-03-01 00:00:00+00:00,AXZoHwP7aap2AIZWylQo,True,LOW,2.0,2019-02-28 00:21:53,False,,,
2019-03-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v_,True,HIGH,2.0,2017-06-28 16:52:27,False,,,
2019-03-01 00:00:00+00:00,AZBbMbke-vc9aDr8e5xk,True,HIGH,5.0,2019-02-28 00:21:53,False,,,
2019-04-01 00:00:00+00:00,AW0dNVh3x-vQs4-GMWlb,True,LOW,5.0,2019-03-24 20:18:29,False,,,
