timesteps,mean_reward,month
14336,-0.4463999999999998,2022-06
16384,-0.3074999999999999,2022-06
2048,-1.5921,2022-07
4096,-1.6118000000000003,2022-07
6144,-1.2177,2022-07
8192,-1.0986000000000002,2022-07
10240,-0.7633,2022-07
12288,-0.4465999999999999,2022-07
14336,-0.3073999999999999,2022-07
16384,-0.4257999999999998,2022-07
2048,-1.6329,2022-08
4096,-1.5123999999999995,2022-08
6144,-1.1966,2022-08
8192,-0.8625,2022-08
10240,-0.8234,2022-08
12288,-0.6441999999999999,2022-08
14336,-0.4453999999999998,2022-08
16384,-0.2875999999999999,2022-08
2048,-1.6510999999999996,2022-09
4096,-1.4543000000000004,2022-09
6144,-1.2978999999999998,2022-09
8192,-0.9816,2022-09
10240,-0.6646,2022-09
12288,-0.5450999999999998,2022-09
14336,-0.3278999999999998,2022-09
16384,-0.3276999999999998,2022-09
2048,-1.4731,2022-10
4096,-1.515,2022-10
6144,-1.1582,2022-10
8192,-0.8417,2022-10
10240,-0.8229000000000001,2022-10
12288,-0.4854999999999999,2022-10
14336,-0.4265999999999998,2022-10
16384,-0.2682999999999999,2022-10
2048,-1.4530999999999998,2022-11
4096,-1.5533,2022-11
6144,-1.0995999999999997,2022-11
8192,-0.7226999999999998,2022-11
10240,-0.6454999999999999,2022-11
12288,-0.4460999999999998,2022-11
14336,-0.5258999999999999,2022-11
16384,-0.4661999999999999,2022-11
2048,-1.5529000000000002,2022-12
4096,-1.3752000000000002,2022-12
6144,-1.2567,2022-12
8192,-0.7024000000000001,2022-12
10240,-0.8610999999999999,2022-12
12288,-0.4852999999999998,2022-12
14336,-0.4662999999999999,2022-12
16384,-0.3268999999999998,2022-12
2048,-1.5508000000000004,2023-01
4096,-1.3159999999999998,2023-01
6144,-1.0404999999999998,2023-01
8192,-1.1190999999999998,2023-01
10240,-0.7626999999999999,2023-01
12288,-0.5050999999999999,2023-01
14336,-0.3467999999999998,2023-01
16384,-0.2477999999999999,2023-01
2048,-1.4741000000000002,2023-02
4096,-1.3562000000000003,2023-02
6144,-1.2969,2023-02
8192,-0.8603999999999996,2023-02
10240,-0.7239999999999999,2023-02
12288,-0.705,2023-02
14336,-0.5849999999999999,2023-02
16384,-0.4265999999999998,2023-02
2048,-1.5922000000000005,2023-03
4096,-1.4148000000000005,2023-03
6144,-1.1970999999999998,2023-03
8192,-0.921,2023-03
10240,-0.7619999999999999,2023-03
12288,-0.5459999999999998,2023-03
14336,-0.4464999999999998,2023-03
16384,-0.3274999999999998,2023-03
2048,-1.6321,2023-04
4096,-1.4534000000000002,2023-04
6144,-1.0405,2023-04
8192,-1.001,2023-04
10240,-0.8419999999999999,2023-04
12288,-0.6249999999999999,2023-04
14336,-0.3072,2023-04
16384,-0.4076999999999998,2023-04
2048,-1.591,2023-05
4096,-1.2167,2023-05
6144,-1.0183,2023-05
8192,-0.9015000000000002,2023-05
10240,-0.7031999999999999,2023-05
12288,-0.5647999999999999,2023-05
14336,-0.5656,2023-05
16384,-0.2678,2023-05
2048,-1.5919,2023-06
4096,-1.4143,2023-06
6144,-1.2179,2023-06
8192,-1.0600999999999998,2023-06
10240,-0.7626999999999999,2023-06
12288,-0.7040000000000001,2023-06
14336,-0.4068999999999998,2023-06
16384,-0.2681999999999999,2023-06
2048,-1.5933000000000002,2023-07
4096,-1.3935000000000002,2023-07
6144,-1.119,2023-07
8192,-0.8808999999999999,2023-07
10240,-0.7431999999999997,2023-07
12288,-0.5453999999999999,2023-07
14336,-0.5257999999999998,2023-07
16384,-0.3474999999999998,2023-07
