snapshot,issue_id,reward,severity,effort_minutes,created_at
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sm,7.666666666666667,HIGH,5,2018-09-24 18:30:54
2018-10-01 00:00:00+00:00,AZOLYO2D2vcmJlCxpCcb,7.0,HIGH,15,2018-02-03 00:50:07
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sl,1.3333333333333335,LOW,10,2018-09-24 18:30:54
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5sn,1.3333333333333335,LOW,10,2018-09-24 18:30:54
2018-10-01 00:00:00+00:00,AZBbMYxq-vc9aDr8e5so,1.3333333333333335,LOW,10,2018-09-24 18:30:54
2018-11-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v-,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2018-11-01 00:00:00+00:00,AZBbMXOE-vc9aDr8e5rG,7.866666666666666,HIGH,2,2018-10-25 19:59:50
2018-11-01 00:00:00+00:00,AZBbMYPE-vc9aDr8e5sI,7.666666666666667,HIGH,5,2018-10-26 04:15:21
2018-11-01 00:00:00+00:00,AW0dNVPgx-vQs4-GMWZ_,1.8666666666666667,LOW,2,2018-10-26 04:15:21
2018-11-01 00:00:00+00:00,AZUWLxbE36iphIe0EWWn,0.8666666666666667,INFO,2,2018-10-23 21:24:09
2018-12-01 00:00:00+00:00,AZBbMXOE-vc9aDr8e5rE,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2018-12-01 00:00:00+00:00,AZUWLw3j36iphIe0EWV9,0.8666666666666667,INFO,2,2018-11-30 21:42:53
2018-12-01 00:00:00+00:00,AZUWLw3j36iphIe0EWV8,0.8666666666666667,INFO,2,2018-11-30 21:42:53
2018-12-01 00:00:00+00:00,AZLAalpvVrNh1ufgrLdD,0.33333333333333337,INFO,10,2018-11-17 02:02:41
2018-12-01 00:00:00+00:00,AZLjvTYzyTR5NnVSEQi1,0.33333333333333337,INFO,10,2018-11-12 21:57:28
2019-01-01 00:00:00+00:00,AZBbMbXQ-vc9aDr8e5xC,7.666666666666667,HIGH,5,2018-09-24 18:30:54
2019-01-01 00:00:00+00:00,AZUWLw3j36iphIe0EWV9,0.8666666666666667,INFO,2,2018-11-30 21:42:53
2019-01-01 00:00:00+00:00,AZUWLw3j36iphIe0EWV8,0.8666666666666667,INFO,2,2018-11-30 21:42:53
2019-01-01 00:00:00+00:00,AZLAalpvVrNh1ufgrLdD,0.33333333333333337,INFO,10,2018-11-17 02:02:41
2019-01-01 00:00:00+00:00,AZLjvTYzyTR5NnVSEQi1,0.33333333333333337,INFO,10,2018-11-12 21:57:28
2019-02-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tR,7.666666666666667,HIGH,5,2019-01-30 23:22:00
2019-02-01 00:00:00+00:00,AZOLYO2D2vcmJlCxpCcc,7.0,HIGH,15,2018-02-03 00:50:07
2019-02-01 00:00:00+00:00,AYxvK6osijFDpMqo8-Cv,1.8666666666666667,LOW,2,2019-01-15 17:24:13
2019-02-01 00:00:00+00:00,AZUWL0Ef36iphIe0EWZn,0.8666666666666667,INFO,2,2019-01-29 18:51:23
2019-02-01 00:00:00+00:00,AZIlQd3tnMroJnOziKUW,0.8666666666666667,INFO,2,2019-01-22 23:50:12
2019-03-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tb,7.666666666666667,HIGH,5,2018-08-10 06:26:25
2019-03-01 00:00:00+00:00,AZBbMbke-vc9aDr8e5xk,7.666666666666667,HIGH,5,2019-02-28 00:21:53
2019-03-01 00:00:00+00:00,AXZoHwP7aap2AIZWylQm,1.8666666666666667,LOW,2,2019-02-28 00:21:53
2019-03-01 00:00:00+00:00,AXZoHwP7aap2AIZWylQo,1.8666666666666667,LOW,2,2019-02-28 00:21:53
2019-03-01 00:00:00+00:00,AW0dNVY4x-vQs4-GMWgl,1.0,LOW,15,2019-02-20 01:10:05
2019-04-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v-,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2019-04-01 00:00:00+00:00,AZBbMbaI-vc9aDr8e5xM,7.666666666666667,HIGH,5,2019-03-26 21:51:29
2019-04-01 00:00:00+00:00,AZBbMbaI-vc9aDr8e5xN,7.666666666666667,HIGH,5,2019-03-26 21:51:29
2019-04-01 00:00:00+00:00,AW0dNVh3x-vQs4-GMWlb,1.6666666666666667,LOW,5,2019-03-24 20:18:29
2019-04-01 00:00:00+00:00,AZUWL0fW36iphIe0EWac,0.8666666666666667,INFO,2,2019-03-26 21:51:29
2019-05-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v_,7.866666666666666,HIGH,2,2017-06-28 16:52:27
2019-05-01 00:00:00+00:00,AW0dNVPGx-vQs4-GMWZr,1.6666666666666667,LOW,5,2019-04-11 23:21:46
2019-05-01 00:00:00+00:00,AZUWL0Zn36iphIe0EWaF,0.8666666666666667,INFO,2,2019-04-19 22:03:49
2019-05-01 00:00:00+00:00,AZUWLxge36iphIe0EWWq,0.8666666666666667,INFO,2,2019-04-11 23:21:46
2019-05-01 00:00:00+00:00,AZUWLxge36iphIe0EWWr,0.8666666666666667,INFO,2,2019-04-11 23:21:46
2019-06-01 00:00:00+00:00,AZBbMbaI-vc9aDr8e5xN,7.666666666666667,HIGH,5,2019-03-26 21:51:29
2019-06-01 00:00:00+00:00,AXZoHwDwaap2AIZWylQT,1.8666666666666667,LOW,2,2019-05-01 20:50:11
2019-06-01 00:00:00+00:00,AW0dNVPGx-vQs4-GMWZr,1.6666666666666667,LOW,5,2019-04-11 23:21:46
2019-06-01 00:00:00+00:00,AZUWL0Zn36iphIe0EWaF,0.8666666666666667,INFO,2,2019-04-19 22:03:49
2019-06-01 00:00:00+00:00,AZUWLxge36iphIe0EWWq,0.8666666666666667,INFO,2,2019-04-11 23:21:46
2019-07-01 00:00:00+00:00,AZBbMa7p-vc9aDr8e5v9,7.866666666666666,HIGH,2,2018-08-08 20:46:31
2019-07-01 00:00:00+00:00,AZBbMa61-vc9aDr8e5v2,7.666666666666667,HIGH,5,2019-06-25 23:25:51
