time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_range
2048,1,1042,4.85,1,15.08399991,0.0003,80,59.71253030896187,0.3467310667037964,0.010302734375,-3.8240369610488414,-0.00851075658283662,0.0045116115,27.239215850830078,0.2
4096,2,465,4.84,8,17.349333270000002,0.0003,10,34.21157309412956,6.574392318725586e-05,0.460888671875,-4.4529349759221075,-0.06285731679236051,0.04089436,18.511220932006836,0.2
6144,3,437,4.94,14,21.05133323,0.0003,20,49.209479129314424,0.0003891587257385254,0.465625,-4.3673648416996,-0.05431555491813924,0.02236032,32.50272750854492,0.2
8192,4,451,4.82,18,22.156666600000005,0.0003,30,58.33612085580826,0.0006988644599914551,0.473974609375,-4.2661703616380695,-0.0543787544243969,0.020689506,29.731142044067383,0.2
10240,5,379,4.79,26,24.24866651,0.0003,40,66.41910252571105,0.0013118982315063477,0.409765625,-4.139982029795647,-0.04091955231269821,0.020069,40.60071563720703,0.2
12288,6,392,4.59,31,24.884666539999998,0.0003,50,81.42025532722474,0.0015195012092590332,0.294775390625,-4.015809504687786,-0.030942428630078213,0.01707675,48.614219665527344,0.2
14336,7,382,4.7,37,25.03133328,0.0003,60,84.01676607131958,0.010722637176513672,0.050830078125,-3.93126767501235,-0.02117872331291437,0.00907003,48.500083923339844,0.2
16384,8,370,4.78,44,28.334666530000003,0.0003,70,79.04858216047288,0.17204499244689941,0.0,-3.8768199868500233,-0.006974030433048029,0.0025723362,53.80350875854492,0.2
2048,1,1050,4.93,1,13.976666580000002,0.0003,80,71.77423136234283,0.2372259497642517,0.00068359375,-3.8302395813167096,-0.007578627220937051,0.0027825416,32.34184265136719,0.2
4096,2,379,4.84,10,16.39866655,0.0003,10,31.609885907173158,0.0003523826599121094,0.4876953125,-4.531989815831184,-0.061987895950733216,0.03693624,13.001505851745605,0.2
6144,3,412,4.93,14,20.011999919999997,0.0003,20,45.33683108687401,0.0010415315628051758,0.4748046875,-4.446249757707119,-0.0586120173742529,0.025557205,22.20537757873535,0.2
8192,4,392,4.8,20,21.407333240000003,0.0003,30,53.589792692661284,0.0061514973640441895,0.423876953125,-4.3568143650889395,-0.05093973452749197,0.01887424,27.078582763671875,0.2
10240,5,367,4.77,27,21.907999869999998,0.0003,40,59.00453472137451,0.034409284591674805,0.287353515625,-4.256388860940933,-0.044631385753746144,0.016919792,21.021310806274414,0.2
12288,6,383,4.77,32,23.42133315,0.0003,50,62.50478971004486,0.13303840160369873,0.133935546875,-4.143476089835167,-0.037110986062907615,0.015376432,36.050270080566406,0.2
14336,7,348,4.68,41,24.613333240000006,0.0003,60,58.71230731010437,0.24397903680801392,0.069921875,-4.009920021891594,-0.02356792702412349,0.013273015,36.85830307006836,0.2
16384,8,361,4.68,45,25.47666651,0.0003,70,57.29091666936874,0.32539039850234985,0.048779296875,-3.9015689089894297,-0.016238624400284608,0.009486304,28.981231689453125,0.2
2048,1,400,4.85,5,12.753999919999998,0.0003,80,58.10954452753067,0.43831008672714233,0.059130859375,-3.822151044011116,-0.020922319864621387,0.011019787,24.952171325683594,0.2
4096,2,392,4.87,10,15.537999929999998,0.0003,10,30.48159053325653,0.00040966272354125977,0.45693359375,-4.545913523435592,-0.061998857870639766,0.03308636,17.1200008392334,0.2
6144,3,421,4.9,14,19.233333190000003,0.0003,20,42.51650551557541,0.0005466341972351074,0.456591796875,-4.473572026193142,-0.058347962019615805,0.022574145,28.19017791748047,0.2
