snapshot,issue_id,reward,severity,effort_minutes,created_at,age_days_at_selection
2018-08-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tZ,7.666666666666667,high,5,2018-07-13 19:16:57+00:00,18
2021-07-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5ta,7.75,high,5,2018-08-10 06:26:25+00:00,1055
2018-11-01 00:00:00+00:00,AZBbMZJD-vc9aDr8e5tc,7.666666666666667,high,5,2018-08-10 06:26:25+00:00,82
2021-02-01 00:00:00+00:00,AZBbMZPo-vc9aDr8e5ti,3.75,medium,5,2021-01-06 18:31:40+00:00,25
2022-11-01 00:00:00+00:00,AZBbMZqi-vc9aDr8e5tm,3.75,medium,5,2022-10-26 16:53:43+00:00,5
2023-03-01 00:00:00+00:00,AZBbMZrK-vc9aDr8e5tn,7.75,high,5,2023-02-24 23:13:06+00:00,4
2022-11-01 00:00:00+00:00,AZBbMZri-vc9aDr8e5to,7.75,high,5,2022-10-21 19:16:53+00:00,10
2022-11-01 00:00:00+00:00,AZBbMZri-vc9aDr8e5tp,7.75,high,5,2022-10-21 19:16:53+00:00,10
2019-09-01 00:00:00+00:00,AZBbMZuj-vc9aDr8e5tt,7.666666666666667,high,5,2019-08-27 22:16:22+00:00,4
2017-08-01 00:00:00+00:00,AZBbMZwc-vc9aDr8e5t8,7.666666666666667,high,5,2017-07-21 00:59:29+00:00,10
2019-08-01 00:00:00+00:00,AZBbMa-O-vc9aDr8e5wJ,7.666666666666667,high,5,2019-07-15 18:55:20+00:00,16
2019-08-01 00:00:00+00:00,AZBbMa-O-vc9aDr8e5wK,7.666666666666667,high,5,2019-07-15 18:55:20+00:00,16
2023-06-01 00:00:00+00:00,AZBbMa5B-vc9aDr8e5vw,7.75,high,5,2017-08-04 23:21:30+00:00,2126
2017-09-01 00:00:00+00:00,AZBbMa5B-vc9aDr8e5vx,7.666666666666667,high,5,2017-08-04 23:21:30+00:00,27
2019-07-01 00:00:00+00:00,AZBbMa61-vc9aDr8e5v2,7.666666666666667,high,5,2019-06-25 23:25:51+00:00,5
2023-05-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v-,7.9,high,2,2017-06-28 16:52:27+00:00,2132
2017-12-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5v_,7.866666666666666,high,2,2017-06-28 16:52:27+00:00,155
2018-03-01 00:00:00+00:00,AZBbMa70-vc9aDr8e5wA,7.866666666666666,high,2,2017-06-28 16:52:27+00:00,245
2023-11-01 00:00:00+00:00,AZBbMa7R-vc9aDr8e5v3,1.9,low,2,2023-10-13 20:42:01+00:00,18
2023-11-01 00:00:00+00:00,AZBbMa7R-vc9aDr8e5v4,1.9,low,2,2023-10-13 20:42:01+00:00,18
2023-09-01 00:00:00+00:00,AZBbMa7_-vc9aDr8e5wB,7.9,high,2,2017-06-28 16:52:27+00:00,2255
2022-05-01 00:00:00+00:00,AZBbMa7_-vc9aDr8e5wC,7.9,high,2,2017-06-28 16:52:27+00:00,1767
2018-09-01 00:00:00+00:00,AZBbMa7p-vc9aDr8e5v9,7.866666666666666,high,2,2018-08-08 20:46:31+00:00,23
2021-07-01 00:00:00+00:00,AZBbMa8L-vc9aDr8e5wD,7.9,high,2,2021-06-09 21:28:51+00:00,21
2021-07-01 00:00:00+00:00,AZBbMa8L-vc9aDr8e5wE,7.9,high,2,2021-06-09 21:28:51+00:00,21
2022-08-01 00:00:00+00:00,AZBbMaEC-vc9aDr8e5uI,1.9,low,2,2022-07-15 16:12:16+00:00,16
2022-08-01 00:00:00+00:00,AZBbMaEC-vc9aDr8e5uK,1.9,low,2,2022-07-15 16:12:16+00:00,16
2022-08-01 00:00:00+00:00,AZBbMaEC-vc9aDr8e5uL,1.9,low,2,2022-07-15 16:12:16+00:00,16
2021-11-01 00:00:00+00:00,AZBbMaQc-vc9aDr8e5ui,7.75,high,5,2021-10-27 06:10:39+00:00,4
2021-11-01 00:00:00+00:00,AZBbMaQn-vc9aDr8e5uj,7.75,high,5,2021-10-27 06:10:39+00:00,4
2019-09-01 00:00:00+00:00,AZBbMaW1-vc9aDr8e5uv,1.8666666666666667,low,2,2019-08-21 00:01:22+00:00,10
2022-06-01 00:00:00+00:00,AZBbMaWp-vc9aDr8e5ut,7.75,high,5,2022-05-18 17:52:19+00:00,13
2022-06-01 00:00:00+00:00,AZBbMaWp-vc9aDr8e5uu,7.75,high,5,2022-05-18 17:52:19+00:00,13
2023-06-01 00:00:00+00:00,AZBbMaaQ-vc9aDr8e5uw,3.75,medium,5,2023-05-18 00:57:19+00:00,13
2022-05-01 00:00:00+00:00,AZBbMacC-vc9aDr8e5uy,3.75,medium,5,2022-04-27 00:30:41+00:00,3
2021-01-01 00:00:00+00:00,AZBbMaml-vc9aDr8e5u4,7.75,high,5,2020-12-30 20:14:13+00:00,1
2021-01-01 00:00:00+00:00,AZBbMaml-vc9aDr8e5u5,7.75,high,5,2020-12-30 20:14:13+00:00,1
2021-01-01 00:00:00+00:00,AZBbMaml-vc9aDr8e5u6,7.75,high,5,2020-12-30 20:14:13+00:00,1
2021-01-01 00:00:00+00:00,AZBbMaml-vc9aDr8e5u7,7.75,high,5,2020-12-30 20:14:13+00:00,1
2021-01-01 00:00:00+00:00,AZBbMaml-vc9aDr8e5u8,1.9,low,2,2020-12-30 20:14:13+00:00,1
2022-01-01 00:00:00+00:00,AZBbMas8-vc9aDr8e5vb,1.5,low,10,2021-12-17 20:32:03+00:00,14
2023-04-01 00:00:00+00:00,AZBbMbOh-vc9aDr8e5wP,7.75,high,5,2020-02-11 21:06:18+00:00,1144
2022-08-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wR,7.75,high,5,2019-12-18 19:12:18+00:00,956
2020-01-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wS,7.666666666666667,high,5,2019-12-18 19:12:18+00:00,13
2021-08-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wT,7.75,high,5,2019-12-18 19:12:18+00:00,591
2021-11-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wU,7.75,high,5,2019-12-18 19:12:18+00:00,683
2023-12-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wV,7.75,high,5,2019-12-18 19:12:18+00:00,1443
2021-03-01 00:00:00+00:00,AZBbMbPS-vc9aDr8e5wW,7.75,high,5,2019-12-18 19:12:18+00:00,438
2022-04-01 00:00:00+00:00,AZBbMbPq-vc9aDr8e5wX,7.75,high,5,2020-03-05 19:17:46+00:00,756
2020-08-01 00:00:00+00:00,AZBbMbQx-vc9aDr8e5wb,7.666666666666667,high,5,2020-03-02 21:05:54+00:00,151
2019-11-01 00:00:00+00:00,AZBbMbSb-vc9aDr8e5we,7.666666666666667,high,5,2019-10-24 03:37:28+00:00,7
2019-11-01 00:00:00+00:00,AZBbMbSb-vc9aDr8e5wf,3.6666666666666665,medium,5,2019-10-24 03:37:28+00:00,7
2020-12-01 00:00:00+00:00,AZBbMbTW-vc9aDr8e5wg,7.75,high,5,2020-11-11 17:34:15+00:00,19
2020-12-01 00:00:00+00:00,AZBbMbTW-vc9aDr8e5wh,7.75,high,5,2020-11-11 17:34:15+00:00,19
2023-04-01 00:00:00+00:00,AZBbMbTW-vc9aDr8e5wi,7.75,high,5,2023-03-24 00:20:45+00:00,7
2023-04-01 00:00:00+00:00,AZBbMbTW-vc9aDr8e5wm,3.75,medium,5,2023-03-24 00:20:45+00:00,7
2022-02-01 00:00:00+00:00,AZBbMbU8-vc9aDr8e5wr,3.75,medium,5,2022-01-21 21:16:43+00:00,10
2020-10-01 00:00:00+00:00,AZBbMbUh-vc9aDr8e5wo,7.75,high,5,2019-08-20 21:47:47+00:00,407
